prompt,phrase
Feeling cold,"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold."
Emotional pain,"i feel hurt, lot of pain in my heart"
Head ache,I read a book for along time and when I finished reading I feel head ache
Acne,I break out on my face very frequently
Body feels weak,I have tried to relief it but I can't
Injury from sports,I stopped sports because I get Injury from sports
Cough,Every time I take a deep breath I start coughing
Joint pain,when i extend my leg there is pain in knee joint
Head ache,my head hurts me badly
Hair falling out,when i was washing my hair it was falling out heavily
Acne,I hate my acne.
Infected wound,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.
Joint pain,i have pain like needles in my joints.
Heart hurts,i have a great pain in my thorax from heart injury
Emotional pain,I don't know why I'm constantly sad.
Neck pain,i feel pain in my neck
Body feels weak,My muscles feel tired
Blurry vision,I tried to put my glasses to see more clear but cant find any change
Stomach ache,i feel pain in my stomach
Foot ache,The arches of my feet hurt when I wear heels
Foot ache,"I have a foot ache in winter, or when it feels cold, why?"
Back pain,My back is hurting so much.
Muscle pain,The pain feels like it's right below the skin
Knee pain,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
Muscle pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
Internal pain,I have a pain internal
Cough,"my child has cough all night, she can't sleep"
Feeling dizzy,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
Back pain,When I play sports  I have some burning sensation in my spine
Muscle pain,I have a hard muscle pain since i went to the gym
Hair falling out,my hair falling out
Joint pain,I feel joint pain every time I move
Internal pain,I feel aching on my insides.
Skin issue,I have this strange rash on my arm.
Acne,My face break out badly every month around my cycle.
Cough,I have a lot of mucus when I cough.
Emotional pain,i'm disappointed
Stomach ache,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.
Feeling dizzy,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
Injury from sports,I was playing soccer and I twisted my ankle
Infected wound,My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.
Stomach ache,I feel so sore in my stomach area.
Shoulder pain,i have shoulder pain after doing any home work.
Open wound,"laceration, rupture or opening in the skin"
Shoulder pain,I can't carry anything I have a pain in my shoulder
Knee pain,How do you know if you have a torn meniscus in your knee?
Feeling dizzy,My head gets dizzy when I try to get up.
Emotional pain,I feel pain when parting loved ones
Infected wound,I think my wound is infected
Feeling dizzy,i feel dizzy after severe diarrhea
Skin issue,there is a red stain in my skin
Knee pain,"i can't walk, my knee hurts me"
Back pain,I feel a pain in my back
Body feels weak,My body feels weak and I tried to make it relax but it stills pain me
Heart hurts,I feel increased heart rate with prick
Infected wound,My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.
Heart hurts,I feel increased heart rate with prick
Head ache,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.
Ear ache,i have a problem in my middle ear made by infection
Blurry vision,My television and computer seem out of focus even though I have new glasses.
Open wound,I have a break in the skin between my thumb and index finger and it will not close.
Hair falling out,When I brush my hair I notice big clumps of hair coming out in the brush.
Knee pain,I feel pain in the knee when walking
Hard to breath,I'm not feeling good I can't take my breath
Shoulder pain,i can't move my shoulder because of pain
Internal pain,I feel pain inside and I can not identify it
Stomach ache,I have an indigestion
Feeling cold,I m feeling cold though the temperature is high
Body feels weak,My body feels weak although I take my vitamins regularly.
Internal pain,i feel pain in my body
Knee pain,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee."
Feeling dizzy,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
Ear ache,I get an ear ache when it is cold
Joint pain,My joints feel swollen
Feeling dizzy,When I stand I feel dizzy I do not know why
Feeling dizzy,I feel lightheaded
Muscle pain,My lower back hurts but it improves if I stretch it
Acne,I got acne when I ate chili
Knee pain,I could not exercise because of my knee pain
Ear ache,I'm not hearing well I have problem with my ear
Hair falling out,A terrible fall in hair
Ear ache,my ear hurts me badly
Infected wound,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.
Heart hurts,heart aches so much
Neck pain,My throught is so sore.
Ear ache,The pain in my ear is unbearable.
Infected wound,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.
Knee pain,Chronic bone disease at the level of the doubles of the lower Estremidades
Knee pain,My knees hurt so bad to walk that I stay sitting more than I should.
Emotional pain,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.
Knee pain,My kneecap feels like it is grating bone on bone when I walk.
Emotional pain,I feel suicidal.
Joint pain,I feel pain in my joint after an injury in the last football match I played.
Feeling dizzy,I feel dizzy whenever I stand up.
Knee pain,"Annoyance starts suddenly, often after an injury or exercise."
Blurry vision,I feel pain in my eyes I can see fog
Head ache,Can't keep focus
Cough,I feel fluid trying to come up when I cough.
Skin issue,"My skin color on my back is red, I don't know why."
Ear ache,"My left ear is ok, but the right one feels like it's being stabbed with a nail."
Cough,I'm suffering from sharp cough Accompanied by  phlegm
Shoulder pain,"When I move my shoulder, it's like lightning is being sent through my shoulder"
Hard to breath,I feel a tightness in my chest
Internal pain,My chest hurts when I smoke
Foot ache,I have a foot ache although I don't walk a lot.
Foot ache,i feel pain in my foot
Joint pain,I have a feeling like my whole body is complaining
Injury from sports,I had a collision while playing soccer.  My knee buckled and now it's unstable.
Acne,My acne gets worse when it is hot
Cough,I usually have a bad cough when I get flu.
Injury from sports,"i was playing basketball yesterday, i have sprained ankle"
Acne,My chest break out with red pimples and whiteheads.
Hair falling out,itch at front and center of scalp
Back pain,I feel pain in the lower back
Head ache,I have a dull ache in my head
Ear ache,I get an ear ache when it is cold
Acne,I get breakouts on my chest with red patches that get more intense when i get hot.
Blurry vision,i can't ride my car at night because i have blurry vision.
Knee pain,I feel pain in the knee
Stomach ache,I can't stand with this horrible feeling in my stomach
Body feels weak,"I get tired too fast, I can barely put on my clothes in the morning."
Feeling cold,When I tried to be warm and wear more clothes I found that I was still cold
Joint pain,my ankle is hurting me
Joint pain,My knee is hurting so badly.
Head ache,fell skull is cracked like nuts
Heart hurts,It is like I have a needle pushing through my heart.
Acne,My chest acne breaks out and never clears up.
Hair falling out,my hair isn't well
Shoulder pain,It feels like someone stuck a knife into my shoulder
Head ache,I feel a great amount of pressure of my head.
Infected wound,my hand open wound got infected
Hard to breath,I feel great pressure in my chest
Hard to breath,I'm not feeling good I can't take my breath
Hard to breath,i feel that it's hard to breath for me specially after running or making any effort
Open wound,I have an open wound in my arm
Cough,i cant sleep because of cough
Hard to breath,"It is hard to breath when I am in the underground metro station, why?"
Acne,I break out on my face very frequently
Body feels weak,"can't do any exercise, i feel weak"
Knee pain,My knees hurt so bad to walk that I stay sitting more than I should.
Muscle pain,My shoulder muscle hurts when I try to reach up.
Hair falling out,I'm very worried that I'll go bald soon. Am I very sick?
Shoulder pain,i feel that is great pain in my left shoulder
Internal pain,I feel pain inside and I can not identify it
Back pain,I feel a pain in my back
Acne,Is there a cure for acne?
Muscle pain,I have a pain in my muscle
Muscle pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
Emotional pain,I feel sad like hurt or pain
Body feels weak,My body feels weak although I take my vitamins regularly.
Head ache,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.
Skin issue,I have found some issues in my skin and tried to use cream but it doesn't get better
Skin issue,I have a red rash that is itchy on my skin
Infected wound,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.
Neck pain,I feel pain in my neck after waking up
Neck pain,My neck has been sore since the accident.
Emotional pain,"i feel hurt, lot of pain in my heart"
Emotional pain,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.
Hard to breath,"It is hard to breath when I am in the underground metro station, why?"
Head ache,I have a dull ache in my head
Heart hurts,"I feel a pain on the left side of my chest, where my heart is"
Feeling cold,When I wake up I am feeling cold
Acne,there is acne on my face
Feeling cold,I'm not good i'm feeling so cold
Open wound,I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.
Body feels weak,"It's hard to stand up, and I'm moving very slowly"
Shoulder pain,There is so much pain when I move my arm.
Head ache,I read a book for along time and when I finished reading I feel head ache
Hair falling out,I lose a lot of my hair
Injury from sports,i have injured myself during the soccer match
Blurry vision,My television and computer seem out of focus even though I have new glasses.
Muscle pain,When I wake up in the morning I feel a soreness in my body
Head ache,I feel a great amount of pressure of my head.
Heart hurts,I feel pain in my heart when I wake up
Acne,I break out on my face very frequently
Back pain,I have a back pain since I turned 70 years old.
Hard to breath,I feel like something is squeezing my lungs.
Foot ache,My foot had been aching since last Tuesday.
Back pain,My back hurts a lot when I bend
Knee pain,I feel pain in the knee
Blurry vision,Everything looks like beeing in a smoky area.
Feeling dizzy,"Every time I make an effort, I felt dizzy."
Cough,Have severe cold and cough
Hard to breath,I feel like something is squeezing my lungs.
Knee pain,I feel pain in the knee when walking
Internal pain,Chronic bowel Pain
Injury from sports,When I played football I dislocated my shoulder
Heart hurts,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.
Injury from sports,I feel pain in my right shoulder after the tennis match.
Heart hurts,There is this pain that radiates from my chest up to my left arm.
Acne,I have pimples in patches along with a lot of redness on my face.
Joint pain,"i can't move my leg, there is pain in the joint"
Hard to breath,I feel a tightness in my chest
Emotional pain,I have a mental suffering
Joint pain,I feel a sharp pain in my ankle joint when I stand.
Head ache,My head hurts in the back and the pain lasts all day.
Open wound,What helps cuts heal faster?
Knee pain,My knee doesn't want to bend well.
Knee pain,My knees seem to grind as I go up or down stairs.
Feeling dizzy,When i'm awake in the morning I feel strange and have vertigo
Open wound,My sore isn't healing well and it's been like this for two weeks.
Foot ache,After walking I have some pain under my foot
Open wound,I hit myself and the would doesn't want to heal
Joint pain,I have some pain when i'm walking around my knees
Blurry vision,When I stand up too quick my vision is blurry.
Hard to breath,Sometimes I feel like a claw on my chest that leaves me breathless.
Infected wound,I suffered a deep wound in my hand and I can not stop the bleeding
Stomach ache,The severe pain in the stomach I feel
Feeling cold,"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!"
Cough,I can`t stop coughing.
Infected wound,There is an injured person
Shoulder pain,It hurts when I raise my arm up
Open wound,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open"
Body feels weak,When I eat too much sugar my body gets weak and dizzy.
Blurry vision,When I stand up too quick my vision is blurry.
Shoulder pain,My right shoulder clicks when I move my arm.
Skin issue,I have a rash and it itches very bad.
Internal pain,I have constant stomach pain and bloating.
Foot ache,My foot hurts and I can't turn it.  Maybe it's broken.
Foot ache,I knocked my foot and it really hurts.
Acne,My son has a lot of acne.
Internal pain,I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.
Hard to breath,I feel a tightness in my chest
Stomach ache,My stomach feels starts hurting but then it feels better after I eat something mild.
Knee pain,Chronic bone disease at the level of the doubles of the lower Estremidades
Neck pain,My neck feels stiff
Feeling dizzy,I feel dizzy after doing a muscular effort.
Acne,I have pimples in patches along with a lot of redness on my face.
Feeling dizzy,I feel lightheaded when I stand up
Muscle pain,I feel a burning sensation in my shoulder muscle.
Joint pain,I feel a lot of pain in the joints.
Acne,The acne was causing me to feel embarrassed.
Emotional pain,I have a mental suffering
Emotional pain,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.
Feeling dizzy,Whenever I stand up I feel dizzy.
Open wound,I have a split on my thumb that will not heal.
Joint pain,i was playing football and injuried with joint pain.
Blurry vision,I can't see the sign I have a blurry vision
Ear ache,The pain in my ear is unbearable.
Feeling dizzy,When I stand I feel dizzy I do not know why
Skin issue,I have a red rash that is itchy on my skin
Heart hurts,"My heart hurts while I'm sad, why?"
Head ache,I have a headache almost every day
Cough,There is a constant tickle in my throat
Internal pain,My body aches on the inside between my hips and shoulders.
Neck pain,My throught is so sore.
Hair falling out,There are lots of hairs on my pillow in the morning.
Skin issue,I have a scab on the back of my hand that just won't go away.
Skin issue,I have a very rash sensation close to my arms
Muscle pain,When i'm doing sport I have pain under my skin
Injury from sports,I hit my head at the basketball game.  Could I have a concussion?
Heart hurts,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep."
Hair falling out,my hair isn't well
Hard to breath,"i was diagnosed with pneumonia, i can't breath easily."
Neck pain,my neck hurts me and i can't look down or up
Body feels weak,I don't do anything at home and still I feel exhausted.
Joint pain,I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.
Feeling dizzy,I feel lightheaded
Feeling cold,I wake up at night feeling cold
Feeling cold,When I go to sleep I am feeling cold
Shoulder pain,i can't move my shoulder because of pain
Back pain,my back hurts me a lot
Joint pain,Feels like there are pins and needles sticking in my joints
Internal pain,I have internal pain whenever I come down with a cold.
Acne,I get breakouts on my chest with red patches that get more intense when i get hot.
Cough,"I cough a lot when I smell perfume, what is wrong with my lungs?"
Blurry vision,i can't ride my car at night because i have blurry vision.
Acne,I have eruptions on my face that come and go .
Stomach ache,i have a hard pain in my stomach
Cough,There is a constant tickle in my throat
Neck pain,My throught is so sore.
Feeling dizzy,"Every time I make an effort, I felt dizzy."
Cough,i have a very bad cough
Emotional pain,"I've tried reading books, but nothing can cheer me up."
Joint pain,I feel a great pain in my shoulder joint and it does not go away
Skin issue,I have a rash on my skin
Joint pain,When I play football I have joint pain.
Ear ache,Severe pain in the ear
Open wound,What helps cuts heal faster?
Acne,Chronic disease of hair follicles and sebaceous glands
Hair falling out,When I brush my hair I notice big clumps of hair coming out in the brush.
Hard to breath,i feel that it's hard to breath for me specially after running or making any effort
Muscle pain,My shoulder muscle hurts when I try to reach up.
Back pain,When I carry heavy things i feel like breaking my back
Skin issue,I have dark spots on my skin
Stomach ache,I feel abdominal pain
Foot ache,"i walked a long for 3 km, i feel pain in my foot like foot ache"
Cough,I feel fluid trying to come up when I cough.
Skin issue,Need to scratch my skin every minute
Infected wound,"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid."
Joint pain,It hurts when I bent my arm
Stomach ache,I have pain in my stomach
Stomach ache,Stomach pain after drinking milk
Knee pain,i feel pain in my knee
Open wound,The wound is still open
Infected wound,There is an injured person
Blurry vision,When I eat sugar I notice my vision blurs.
Stomach ache,I have pain in my colon and my stomach like something cutting it
Feeling dizzy,I feel dizzy whenever I stand up.
Foot ache,My foot hurts and I can't turn it.  Maybe it's broken.
Ear ache,My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.
Acne,Even though I'm an adult my face keeps breaking out in pimples.
Body feels weak,"My body feels weak after my first day in the gym, why?"
Joint pain,When I play football I have joint pain.
Blurry vision,It's hard to see things
Blurry vision,i have a problem in seeing objects it is too difficult to see
Joint pain,My joints feel swollen
Stomach ache,I feel abdominal pain
Cough,My cough is very heavy and I have mucus.
Injury from sports,I feel strong pain in my knee after it was hit during the football match.
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Skin issue,I have a rash on my skin
Heart hurts,Oh my heart hurts me I tried to be calm and I can't
Back pain,standing less than five minutes and my back start to ache
Shoulder pain,It hurts when I raise my arm up
Infected wound,My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.
Acne,Is pimples a skin disease?
Knee pain,I fell off my bike and since then I had hard  knee pain
Feeling cold,When I wake up I am feeling cold
Blurry vision,I'm having a hard time reading because the letters are all fuzzy
Foot ache,The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.
Infected wound,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.
Acne,My son has a lot of acne.
Acne,"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits."
Cough,My cough is very heavy and I have mucus.
Stomach ache,I feel abdominal pain
Head ache,My head is so heavy can't think normally
Heart hurts,I feel hurts in my heart
Knee pain,"i can't walk, my knee hurts me"
Cough,"I cough a lot when I smell perfume, what is wrong with my lungs?"
Stomach ache,I feel a sharp pain in the stomach after eating
Ear ache,Since I went into the forest  I have pain on my ear
Knee pain,My knee doesn't want to bend well.
Blurry vision,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
Cough,Every time I take a deep breath I start coughing
Back pain,i feel pain in my back
Feeling dizzy,"Every time I make an effort, I felt dizzy."
Hard to breath,I feel a tightness in my chest
Joint pain,I feel a sharp pain in my ankle joint when I stand.
Stomach ache,My stomach feels starts hurting but then it feels better after I eat something mild.
Muscle pain,i have a pain in my trapes
Ear ache,The pain in my ear is unbearable.
Joint pain,I fell a stiffness in my elbows and shoulders
Back pain,When I play sports  I have some burning sensation in my spine
Hair falling out,"My hair is coming out in chunks, especially when I wash it"
Blurry vision,When I stand up too quick my vision is blurry.
Skin issue,I have a very rash sensation close to my arms
Shoulder pain,It hurts when I raise my arm up
Ear ache,My ear is ringing.
Internal pain,I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.
Joint pain,When I play football I have joint pain.
Foot ache,My foot hurts and I can't turn it.  Maybe it's broken.
Body feels weak,When I eat too much sugar my body gets weak and dizzy.
Neck pain,I can't turn my neck to the left without feeling a stabbing pain
Heart hurts,My heart is beating fast and it scares me.
Open wound,My wound opened up again
Injury from sports,i hit the ground when trying to shoot a basketball
Acne,My son has a lot of acne.
Foot ache,I have a foot ache after running 500m with my running shoes.
Shoulder pain,my shoulder is hurting me
Muscle pain,Every morning when I wake up my neck feels like I slept on in wrong.
Body feels weak,"It's hard to stand up, and I'm moving very slowly"
Joint pain,I feel pain in my knee when I climb the stairs.
Emotional pain,"i feel hurt, lot of pain in my heart"
Body feels weak,I feel discomfort throughout the body in general
Cough,I can't sleep I have a hard cough
Emotional pain,After a breakup  I feel something strange in me.
Shoulder pain,i have a strong shoulder pain
Shoulder pain,I can't stand with this horrible feeling in my shoulder
Infected wound,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.
Hair falling out,I'm in need for a treatment for my hair fall
Cough,I have a lot of mucus when I cough.
Ear ache,I feel pain in my ears with tinnitus
Back pain,my back hurts me a lot
Knee pain,I feel like there is something swollen and inflamed at the back of my knee.
Injury from sports,I feel strong pain in my knee after it was hit during the football match.
Neck pain,There's swelling in my neck and it hurts.
Head ache,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
Ear ache,I think there's fluid in my ears.
Joint pain,Feels like there are pins and needles sticking in my joints
Open wound,The wound is still open
Blurry vision,When I force my eyes to view I have blurry vision.
Hard to breath,My heart is pumping fast and I'm having a hard time to breath.
Heart hurts,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep."
Muscle pain,When i'm doing sport I have pain under my skin
Internal pain,I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.
Acne,My acne itches and oozes.
Infected wound,I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.
Blurry vision,When I stand up too quick my vision is blurry.
Injury from sports,When I was young I had an injury from sports in my knee.
Feeling cold,I m feeling cold though the temperature is high
Joint pain,I feel pain in my knee when I climb the stairs.
Muscle pain,My biceps started aching after I went to the gym
Feeling cold,I feel cold although we are in summer.
Acne,Chronic disease of hair follicles and sebaceous glands
Open wound,I have a split on my thumb that will not heal.
Feeling dizzy,I feel lightheaded when I stand up
Blurry vision,"I have a blurry vision since I woke up this morning, what could be the reason?"
Skin issue,I tried alot of cream but i still feel the same skin problem
Blurry vision,"I have a blurry vision during my swimming training in the pool, why?"
Knee pain,"Annoyance starts suddenly, often after an injury or exercise."
Open wound,I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.
Foot ache,"I have a foot ache in winter, or when it feels cold, why?"
Open wound,glass broken and wound my leg badly the wound is so wide
Infected wound,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.
Knee pain,My knee catches and hurts when I first stand up after sitting.
Stomach ache,i have a hard pain in my stomach
Cough,i have severe dry cough
Head ache,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.
Body feels weak,"I hardly have enough stength to get up,"
Blurry vision,Sterilizer for the eye
Shoulder pain,My shoulder aches when I try to lift five pounds.
Stomach ache,i have a hard pain in my stomach
Knee pain,I have shooting pain in my kneecap after working out.
Infected wound,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.
Shoulder pain,I have shoulder pain when I try to carry my groceries.
Body feels weak,I feel weak all over.
Heart hurts,The crushing sensation on my heart leaves me breathless.
Feeling cold,I'm not good i'm feeling so cold
Head ache,My head hurts when I'm doing this.
Blurry vision,When I force my eyes to view I have blurry vision.
Heart hurts,It is like I have a needle pushing through my heart.
Back pain,When I bend over I get a shooting pain down my back
Joint pain,When I play football I have joint pain.
Cough,i can't breath because of  Cough
Joint pain,There is pain in my joints. I can not bear pain
Shoulder pain,My right shoulder clicks when I move my arm.
Shoulder pain,i have a strong shoulder pain
Injury from sports,I broke my ankle while doing rock climbing in the Carpathians.
Emotional pain,I've been feeling very sad lately
Joint pain,Feels like there are pins and needles sticking in my joints
Ear ache,I feel pain in my ears with tinnitus
Knee pain,i feel pain in my knee
Acne,My son has a lot of acne.
Feeling cold,When I go to sleep I am feeling cold
Acne,I can't get a girlfriend because of my acne.
Muscle pain,When I play football I have muscle pain.
Back pain,I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.
Emotional pain,I feel suicidal.
Hair falling out,I have a hair shortage
Acne,I have pimples in patches along with a lot of redness on my face.
Blurry vision,My television and computer seem out of focus even though I have new glasses.
Acne,The acne was causing me to feel embarrassed.
Blurry vision,i am having problems seeing things feel like a cloud on my eyes everything is blurry
Infected wound,I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.
Head ache,I get terrible headaches every few months and when I get them my vision is affected.
Emotional pain,I have a mental suffering
Skin issue,I have a dry skin
Heart hurts,my heart hurts me
Injury from sports,I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help
Joint pain,I fell a stiffness in my elbows and shoulders
Feeling cold,I am having running nose
Emotional pain,i'm disappointed
Injury from sports,I got injured exercising
Ear ache,I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.
Cough,I'm suffering from sharp cough Accompanied by  phlegm
Ear ache,I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.
Cough,I've had this cough for two weeks.
Heart hurts,I feel increased heart rate with prick
Knee pain,My kneecap feels like it is grating bone on bone when I walk.
Cough,I have a cold and it makes me cough alot
Heart hurts,I feel pain in my heart when I wake up
Joint pain,I feel a soreness in my knees when I walk
Infected wound,My wound was infected when i was planting some flowers in my garden
Joint pain,Feel like something is being jabbed into my joints
Foot ache,"I have a foot ache in winter, or when it feels cold, why?"
Neck pain,I can't move my head up and down.
